dataset,portfolio,model,alpha,test_loss_mean,test_loss_std,test_loss_count,coverage_error_mean,coverage_error_std,coverage_error_count,avg_exceedance_loss_mean,avg_exceedance_loss_std,avg_exceedance_loss_count,var_perm_mean_drift_mean,var_perm_mean_drift_std,var_perm_mean_drift_count,var_perm_max_drift_mean,var_perm_max_drift_std,var_perm_max_drift_count,es_perm_mean_drift_mean,es_perm_mean_drift_std,es_perm_mean_drift_count,es_perm_max_drift_mean,es_perm_max_drift_std,es_perm_max_drift_count,uc_p_value_mean,uc_p_value_std,uc_p_value_count,cc_p_value_mean,cc_p_value_std,cc_p_value_count,n_train_first,n_val_first,n_test_first,n_total_first,date_start_first,date_end_first
industry12,equal_weight,flatten_mlp,0.01,0.00035706739859343634,1.5982418264280152e-05,5,0.007991845056065238,0.004196583084049657,5,0.005984751973301172,0.00044732755198966087,5,0.005399191658943892,0.001048738477931961,5,0.23266818821430207,0.07492060984567347,5,0.00599451819434762,0.0010569178964242563,5,0.23121871650218964,0.07489541599271166,5,0.00044770986579683035,0.0009621276666917575,5,7.243351252128605e-10,1.0822989359305106e-09,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,equal_weight,flatten_mlp,0.05,0.0011047579583172685,1.1965730798368211e-05,5,0.027344546381243628,0.011914715118890444,5,0.005689680296927691,0.0002142884692509773,5,0.003757432335987687,0.0003923035398957199,5,0.06329047679901123,0.015237939472295884,5,0.004882003273814916,0.0005470378875869592,5,0.12086403369903564,0.044837634052100214,5,2.1774790632811402e-07,4.868989565365553e-07,5,1.5432100042289676e-14,3.4507224730137094e-14,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,equal_weight,historical_sim,0.01,,,0,0.005306122448979591,,1,0.010674831944444442,,1,,,0,,,0,,,0,,,0,0.001954461494417914,,1,1.260886877352263e-06,,1,,,3920,26130,,
industry12,equal_weight,historical_sim,0.05,,,0,0.002551020408163261,,1,0.009120827265372168,,1,,,0,,,0,,,0,,,0,0.46718810181744264,,1,1.2461870963154098e-05,,1,,,3920,26130,,
industry12,equal_weight,set_attention,0.01,0.00033030149174562704,1.2553308811609041e-05,5,0.0011865443425076454,0.000676608144188389,5,0.00584525503218174,0.00036192794150832037,5,8.046683874773919e-10,2.165566070095116e-11,5,4.470348358154297e-08,1.0536712127723509e-08,5,1.1575580050049438e-09,9.75916972678789e-11,5,4.76837158203125e-08,1.2467205919833117e-08,5,0.3580349283256563,0.3060565250071284,5,0.07631972037108758,0.08672953682719911,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,equal_weight,set_attention,0.05,0.0009569724402143587,2.189219694943402e-05,5,0.00699796126401631,0.009144436149796277,5,0.004877504892647266,0.00029185207089034654,5,4.883995097237914e-10,2.4655427750277355e-11,5,1.7881393432617187e-08,4.080851059445487e-09,5,7.973170346176062e-10,4.501290616750581e-11,5,2.0861625671386717e-08,8.161702118890974e-09,5,0.214883840692573,0.21149157093684798,5,0.19958940411254245,0.28679636460458735,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,vol_scaled,flatten_mlp,0.01,0.00035105423611863143,1.2796667526628519e-05,5,0.011075433231396533,0.005624305737130161,5,0.005851883161813021,0.0005063232269221012,5,0.004502894822508097,0.0004118449049305018,5,0.2634150817990303,0.10933679183154862,5,0.005366359930485487,0.00045116447022942164,5,0.2610155463218689,0.10944859654704704,5,4.026386944078197e-06,8.605779996361878e-06,5,8.637535131583718e-15,1.9314115712263785e-14,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,vol_scaled,flatten_mlp,0.05,0.0010525795667898383,1.7212289821109766e-05,5,0.029689092762487258,0.01283939662233563,5,0.005222399067133665,0.0001303283167462392,5,0.004118666984140873,0.0005162360411126626,5,0.09981698393821717,0.03441122044737803,5,0.005092559196054935,0.0007105359949736708,5,0.115255106985569,0.05440638646901329,5,2.7777081810231865e-07,6.211144314425135e-07,5,1.1541949174187493e-09,2.5808582946330797e-09,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,vol_scaled,historical_sim,0.01,,,0,0.00607142857142857,,1,0.009760063696086506,,1,,,0,,,0,,,0,,,0,0.0004462227600792179,,1,4.704565701452168e-06,,1,,,3920,26130,,
industry12,vol_scaled,historical_sim,0.05,,,0,0.0017857142857142863,,1,0.008932864114424576,,1,,,0,,,0,,,0,,,0,0.6099539530694428,,1,7.507760821146015e-05,,1,,,3920,26130,,
